id,handle,followers_count,friends_count,isProxy
253,"DieRotenBullen",213505,41,0
254,"SkySportNewsHD",705443,390,0
255,"FabrizioRomano",2481451,1020,0
256,"MKDonsFC",93518,515,0
257,"Marco_Hagemann",24768,739,0
258,"OfficialPVFC",68961,327,0
259,"ichbinderdavid",282,335,0
260,"TheVanaramaNL",65351,89,0
261,"premierleague",25725951,82,0
262,"IpswichTown",173212,110,0
263,"TheRocketBeans",182743,867,0
264,"Boro",333218,226,0
265,"Dag_RedFC",36923,454,0
266,"DenisHartwig",196822,65,0
267,"OfficialRUFC",101126,222,0
268,"BBCMOTD",3073456,117,0
269,"sgaspach",5836,95,0
270,"Astro_Alex",1235313,107,0
271,"Br4mm3n",342374,600,0
272,"TheGillsFC",73191,584,0
273,"andrewrobertso5",1579280,379,0
274,"brosator",212868,298,0
275,"ESO_Gernot",6533,955,0
276,"EsumePatrick",98520,198,0
277,"LaLiga",5901548,982,0
278,"FCAugsburg",202567,251,0
279,"BurnleyOfficial",569046,163,0
280,"SkyFootball",467072,248,0
281,"SkyBetChamp",324576,60,0
282,"SkyBetLeagueOne",148591,54,0
283,"SkyBetLeagueTwo",107454,55,0
284,"Carabao_Cup",365692,114,0
285,"PapaJohnsTrophy",35526,439,0
286,"EFLTrust",15634,1340,0
287,"azzurri",589842,194,0
288,"GaryLineker",7860161,1166,0
289,"SwansOfficial",1043878,440,0
290,"Pele",2728461,85,0
291,"aBOSSNight",51714,2795,0
292,"SassuoloUS",286919,33,0
293,"BethFisherSport",11699,1665,0
294,"FutbologyApp",8478,686,0
295,"SebVollmer",58272,166,0
296,"fabispunkt",87,156,0
297,"WCWLion",691,835,0
298,"ARDde",145970,695,0
299,"Copa90",202048,3196,0
300,"ManUtd",24981892,151,0
301,"ChangeGER",34257,2844,0
302,"kicker_VFB",6345,2,0
303,"AroundTheNFL",711467,559,0
304,"AuschwitzMuseum",1134959,2346,0
305,"sandhu_hdm",555,13,0
306,"ulihebel",3722,1462,0
307,"HallescherFC",18872,438,0
308,"DietmarHamann",659398,3096,0
309,"ChampionsLeague",33578592,562,0
310,"SkySportsPL",5737566,779,0
311,"BelRedDevils",877844,168,0
312,"JanLuedeke",1346,568,0
313,"Holstein_Kiel",25960,198,0
314,"VfRAalen1921",33313,38,0
315,"FCBayern",5448294,44,0
316,"SkySportsStatto",370441,67,0
317,"le_floeckl",971,589,0
318,"EuropaLeague",8024007,187,0
319,"SepPietsmiet",171023,155,0
320,"LeSchroeck",53269,221,0
321,"methodenkritik",2562,1775,0
322,"Freddy_Harder",1219,369,0
323,"SV_Sandhausen",39382,119,0
324,"tdb",5230,292,0
325,"CollinasErben",38403,37,0
326,"PatrickRebien",746,2623,0
327,"LUFC",705653,77,0
328,"DeadlineDayLive",1045138,198,0
329,"BjoernWerner",44723,653,0
330,"JeromePolenz6",5604,310,0
331,"ShrimpsOfficial",46178,145,0
